scenario,mode,snr_db,blocks,bits,ber_iter1,ber_iter5,ber_iter10,elapsed_s
edge_phase_unseen_pa,sequence,0,5,20480,0.51826171875,0.518115234375,0.5208984375,0.6874322891235352
edge_phase_unseen_pa,sequence,1,5,20480,0.520703125,0.51533203125,0.517138671875,0.6734194755554199
edge_phase_unseen_pa,sequence,2,8,32768,0.526885986328125,0.524688720703125,0.526214599609375,1.0779292583465576
edge_phase_unseen_pa,sequence,3,10,40960,0.5288330078125,0.529833984375,0.52939453125,1.347670555114746
edge_phase_unseen_pa,sequence,4,12,49152,0.5309244791666666,0.5291951497395834,0.5294596354166666,1.614243507385254
edge_phase_unseen_pa,sequence,4.5,15,61440,0.5332356770833333,0.5349772135416667,0.5346516927083333,2.0116889476776123
edge_phase_unseen_pa,sequence,5,20,81920,0.537109375,0.53563232421875,0.5358154296875,2.703307628631592
edge_phase_unseen_pa,sequence,5.5,25,102400,0.53521484375,0.53390625,0.53349609375,3.3444113731384277
edge_phase_unseen_pa,sequence,6,30,122880,0.5375732421875,0.5376057942708333,0.53779296875,4.054438829421997
edge_phase_unseen_pa,oracle,0,5,20480,0.389111328125,0.38955078125,0.38955078125,0.09258580207824707
edge_phase_unseen_pa,oracle,1,5,20480,0.37646484375,0.37294921875,0.37294921875,0.08837127685546875
edge_phase_unseen_pa,oracle,2,8,32768,0.357574462890625,0.352142333984375,0.35211181640625,0.14629530906677246
edge_phase_unseen_pa,oracle,3,10,40960,0.325537109375,0.3144775390625,0.3143798828125,0.18219780921936035
edge_phase_unseen_pa,oracle,4,12,49152,0.2982584635416667,0.2794392903645833,0.2794189453125,0.22020435333251953
edge_phase_unseen_pa,oracle,4.5,15,61440,0.2771809895833333,0.25262044270833334,0.2525553385416667,0.274075984954834
edge_phase_unseen_pa,oracle,5,20,81920,0.2619873046875,0.231494140625,0.2320068359375,0.3640155792236328
edge_phase_unseen_pa,oracle,5.5,25,102400,0.244091796875,0.20287109375,0.20216796875,0.458585262298584
edge_phase_unseen_pa,oracle,6,30,122880,0.22044270833333332,0.16519368489583333,0.16294759114583332,0.5470845699310303
