scenario,mode,snr_db,blocks,bits,ber_iter1,ber_iter5,ber_iter10,elapsed_s
mild_seen,pa_aware,1,80,327680,0.3168548583984375,0.302593994140625,0.3026214599609375,1.4929397106170654
mild_seen,pa_aware,2,120,491520,0.281622314453125,0.2578837076822917,0.257855224609375,2.2356982231140137
mild_seen,pa_aware,3,160,655360,0.24383392333984374,0.199530029296875,0.1986114501953125,2.981541872024536
mild_seen,pa_aware,4,250,1024000,0.2007255859375,0.1144794921875,0.0841015625,4.613193988800049
mild_seen,pa_aware,4.5,400,1638400,0.177210693359375,0.0565618896484375,0.0064990234375,7.311444520950317
mild_seen,pa_aware,5,700,2867200,0.15460623604910714,0.015040457589285714,7.428850446428571e-05,12.674480438232422
mild_seen,pa_aware,5.5,900,3686400,0.131640625,0.0013902452256944445,0.0,16.250756978988647
mild_seen,pa_aware,6,1200,4915200,0.1087603759765625,3.96728515625e-05,0.0,21.62362289428711
strong_seen,mismatch,0,80,327680,0.378485107421875,0.37366943359375,0.373681640625,1.484339952468872
strong_seen,mismatch,1,80,327680,0.35704345703125,0.3487579345703125,0.3487518310546875,1.4932520389556885
strong_seen,mismatch,2,120,491520,0.32986246744791664,0.317431640625,0.31741739908854166,2.2141427993774414
strong_seen,mismatch,3,160,655360,0.2976776123046875,0.27954864501953125,0.27945404052734374,2.9550459384918213
strong_seen,mismatch,4,250,1024000,0.2655732421875,0.2379423828125,0.238140625,4.668657064437866
strong_seen,mismatch,4.5,400,1638400,0.2478057861328125,0.2123699951171875,0.2121942138671875,7.6159234046936035
strong_seen,mismatch,5,700,2867200,0.22898088727678573,0.18330601283482142,0.18179478236607144,12.852638483047485
strong_seen,mismatch,5.5,900,3686400,0.21115858289930556,0.1508563910590278,0.14398627387152776,16.29721999168396
strong_seen,mismatch,6,1200,4915200,0.1920697021484375,0.11005940755208334,0.079437255859375,21.631006717681885
strong_seen,proposed,0,80,327680,0.3763519287109375,0.3711700439453125,0.371832275390625,8.108649969100952
strong_seen,proposed,1,80,327680,0.349700927734375,0.340728759765625,0.3407012939453125,8.16266942024231
strong_seen,proposed,2,120,491520,0.320733642578125,0.307073974609375,0.30713297526041666,12.214971542358398
strong_seen,proposed,3,160,655360,0.2880157470703125,0.26693878173828123,0.2669219970703125,16.224651336669922
strong_seen,proposed,4,250,1024000,0.251734375,0.2156845703125,0.215630859375,25.35275650024414
strong_seen,proposed,4.5,400,1638400,0.230999755859375,0.1837548828125,0.1828753662109375,41.79499387741089
strong_seen,proposed,5,700,2867200,0.21076974051339287,0.14802594866071428,0.14063790457589287,71.73041534423828
strong_seen,proposed,5.5,900,3686400,0.19001898871527778,0.10360487196180555,0.07001491970486111,91.93081617355347
strong_seen,proposed,6,1200,4915200,0.169063720703125,0.058069864908854164,0.0089892578125,122.61290669441223
strong_seen,pa_aware,0,80,327680,0.3731964111328125,0.36817626953125,0.3681854248046875,1.4735989570617676
strong_seen,pa_aware,1,80,327680,0.3501220703125,0.34151611328125,0.341485595703125,1.4863333702087402
strong_seen,pa_aware,2,120,491520,0.31973470052083336,0.30600382486979166,0.305987548828125,2.2306320667266846
strong_seen,pa_aware,3,160,655360,0.2876678466796875,0.26587371826171874,0.26584320068359374,2.958256959915161
strong_seen,pa_aware,4,250,1024000,0.248517578125,0.209591796875,0.2091904296875,4.619685888290405
strong_seen,pa_aware,4.5,400,1638400,0.2285986328125,0.176839599609375,0.175101318359375,7.378119468688965
strong_seen,pa_aware,5,700,2867200,0.2075449916294643,0.13493024553571428,0.12199288504464285,12.98827075958252
strong_seen,pa_aware,5.5,900,3686400,0.1863791232638889,0.08452962239583334,0.03394395616319444,16.425033569335938
strong_seen,pa_aware,6,1200,4915200,0.163450927734375,0.03390299479166667,0.0007883707682291666,21.7587947845459
edge_unseen,mismatch,0,80,327680,0.4094390869140625,0.406396484375,0.4064056396484375,1.4965131282806396
edge_unseen,mismatch,1,80,327680,0.3941131591796875,0.3898956298828125,0.3898529052734375,1.481210470199585
edge_unseen,mismatch,2,120,491520,0.3745625813802083,0.368023681640625,0.3680196126302083,2.2245726585388184
edge_unseen,mismatch,3,160,655360,0.35259246826171875,0.345574951171875,0.34561309814453123,2.9579973220825195
edge_unseen,mismatch,4,250,1024000,0.3253984375,0.31691015625,0.31675,4.637322664260864
